feature,mae
SBP,0.31887098358097954
Temp,0.3081695556074806
HR,0.30509717476444603
Platelet,0.29199582914104916
SaO2,0.2892889144990386
MAP,0.2835194837698534
Glucose,0.2788782503322505
DBP,0.2756004464696051
PTT,0.2596816880338173
BUN,0.2583554861967147
Chloride,0.2536871420356767
HCO3,0.23368161482028538
RR,0.23190477036573667
Calcium,0.22999740968358362
PH,0.22948571059201606
WBC,0.21931148370535672
age,0.21916482591018235
Lactic,0.20723483371532606
Potassium,0.20598156219968278
BaseExcess,0.20484526102223316
Creatinine,0.20207787392119947
Magnesium,0.20207707134191213
gender,0.20103515051768167
BASELINE,0.20086803383380017
